Path,Format,Options,Dataset,Number of vertices,Number of edges,Density,Mean degree,Best known solution value,Best known bound,Certificate path
cgshop2022/reecn3382.txt,snap,,cgshop2022_reecn,,,,,85,0,certificates/cgshop2022_reecn/cgshop2022/reecn3382.txt_solution.txt
cgshop2022/reecn3988.txt,snap,,cgshop2022_reecn,,,,,71,0,certificates/cgshop2022_reecn/cgshop2022/reecn3988.txt_solution.txt
cgshop2022/reecn6910.txt,snap,,cgshop2022_reecn,,,,,132,0,certificates/cgshop2022_reecn/cgshop2022/reecn6910.txt_solution.txt
cgshop2022/reecn7847.txt,snap,,cgshop2022_reecn,,,,,85,0,certificates/cgshop2022_reecn/cgshop2022/reecn7847.txt_solution.txt
cgshop2022/reecn9674.txt,snap,,cgshop2022_reecn,,,,,147,0,certificates/cgshop2022_reecn/cgshop2022/reecn9674.txt_solution.txt
cgshop2022/reecn11799.txt,snap,,cgshop2022_reecn,,,,,181,0,certificates/cgshop2022_reecn/cgshop2022/reecn11799.txt_solution.txt
cgshop2022/reecn12588.txt,snap,,cgshop2022_reecn,,,,,142,0,certificates/cgshop2022_reecn/cgshop2022/reecn12588.txt_solution.txt
cgshop2022/reecn15355.txt,snap,,cgshop2022_reecn,,,,,185,0,certificates/cgshop2022_reecn/cgshop2022/reecn15355.txt_solution.txt
cgshop2022/reecn16388.txt,snap,,cgshop2022_reecn,,,,,163,0,certificates/cgshop2022_reecn/cgshop2022/reecn16388.txt_solution.txt
cgshop2022/reecn17244.txt,snap,,cgshop2022_reecn,,,,,176,0,certificates/cgshop2022_reecn/cgshop2022/reecn17244.txt_solution.txt
cgshop2022/reecn18615.txt,snap,,cgshop2022_reecn,,,,,152,0,certificates/cgshop2022_reecn/cgshop2022/reecn18615.txt_solution.txt
cgshop2022/reecn21194.txt,snap,,cgshop2022_reecn,,,,,199,0,certificates/cgshop2022_reecn/cgshop2022/reecn21194.txt_solution.txt
cgshop2022/reecn21946.txt,snap,,cgshop2022_reecn,,,,,196,0,certificates/cgshop2022_reecn/cgshop2022/reecn21946.txt_solution.txt
cgshop2022/reecn23484.txt,snap,,cgshop2022_reecn,,,,,190,0,certificates/cgshop2022_reecn/cgshop2022/reecn23484.txt_solution.txt
cgshop2022/reecn23945.txt,snap,,cgshop2022_reecn,,,,,218,0,certificates/cgshop2022_reecn/cgshop2022/reecn23945.txt_solution.txt
cgshop2022/reecn25913.txt,snap,,cgshop2022_reecn,,,,,273,0,certificates/cgshop2022_reecn/cgshop2022/reecn25913.txt_solution.txt
cgshop2022/reecn27494.txt,snap,,cgshop2022_reecn,,,,,201,0,certificates/cgshop2022_reecn/cgshop2022/reecn27494.txt_solution.txt
cgshop2022/reecn29395.txt,snap,,cgshop2022_reecn,,,,,225,0,certificates/cgshop2022_reecn/cgshop2022/reecn29395.txt_solution.txt
cgshop2022/reecn31126.txt,snap,,cgshop2022_reecn,,,,,261,0,certificates/cgshop2022_reecn/cgshop2022/reecn31126.txt_solution.txt
cgshop2022/reecn32569.txt,snap,,cgshop2022_reecn,,,,,297,0,certificates/cgshop2022_reecn/cgshop2022/reecn32569.txt_solution.txt
cgshop2022/rsqrp4637.txt,snap,,cgshop2022_rsqrp,,,,,79,0,certificates/cgshop2022_rsqrp/cgshop2022/rsqrp4637.txt_solution.txt
cgshop2022/rsqrp4641.txt,snap,,cgshop2022_rsqrp,,,,,75,0,certificates/cgshop2022_rsqrp/cgshop2022/rsqrp4641.txt_solution.txt
cgshop2022/rsqrp7320.txt,snap,,cgshop2022_rsqrp,,,,,98,0,certificates/cgshop2022_rsqrp/cgshop2022/rsqrp7320.txt_solution.txt
cgshop2022/rsqrp14364.txt,snap,,cgshop2022_rsqrp,,,,,143,0,certificates/cgshop2022_rsqrp/cgshop2022/rsqrp14364.txt_solution.txt
cgshop2022/rsqrp23406.txt,snap,,cgshop2022_rsqrp,,,,,173,0,certificates/cgshop2022_rsqrp/cgshop2022/rsqrp23406.txt_solution.txt
cgshop2022/rsqrp24641.txt,snap,,cgshop2022_rsqrp,,,,,195,0,certificates/cgshop2022_rsqrp/cgshop2022/rsqrp24641.txt_solution.txt
cgshop2022/rsqrpecn8051.txt,snap,,cgshop2022_rsqrpecn,,,,,194,0,certificates/cgshop2022_rsqrpecn/cgshop2022/rsqrpecn8051.txt_solution.txt
cgshop2022/rvisp3499.txt,snap,,cgshop2022_rvsip,,,,,35,0,certificates/cgshop2022_rvsip/cgshop2022/rvisp3499.txt_solution.txt
cgshop2022/rvisp5013.txt,snap,,cgshop2022_rvsip,,,,,54,0,certificates/cgshop2022_rvsip/cgshop2022/rvisp5013.txt_solution.txt
