Path,Format,Options,Dataset,Number of vertices,Number of edges,Density,Mean degree,Best known solution value,Best known bound,Certificate path
dimacs1992/1-FullIns_3.col,dimacs,--remove-duplicate-edges,dimacs1992,30,100,0.23,3,4,4,certificates/dimacs1992/dimacs1992/1-FullIns_3.col_solution.txt
dimacs1992/1-Insertions_4.col,dimacs,--remove-duplicate-edges,dimacs1992,67,232,0.105,3,5,5,certificates/dimacs1992/dimacs1992/1-Insertions_4.col_solution.txt
dimacs1992/2-FullIns_3.col,dimacs,--remove-duplicate-edges,dimacs1992,52,201,0.152,4,5,5,certificates/dimacs1992/dimacs1992/2-FullIns_3.col_solution.txt
dimacs1992/2-Insertions_3.col,dimacs,--remove-duplicate-edges,dimacs1992,37,72,0.108,2,4,4,certificates/dimacs1992/dimacs1992/2-Insertions_3.col_solution.txt
dimacs1992/3-Insertions_3.col,dimacs,--remove-duplicate-edges,dimacs1992,56,110,0.071,2,4,4,certificates/dimacs1992/dimacs1992/3-Insertions_3.col_solution.txt
dimacs1992/anna.col,dimacs,--remove-duplicate-edges,dimacs1992,138,493,0.052,4,11,11,certificates/dimacs1992/dimacs1992/anna.col_solution.txt
dimacs1992/ash331GPIA.col,dimacs,--remove-duplicate-edges,dimacs1992,662,4181,0.019,6,4,4,certificates/dimacs1992/dimacs1992/ash331GPIA.col_solution.txt
dimacs1992/david.col,dimacs,--remove-duplicate-edges,dimacs1992,87,406,0.109,5,11,11,certificates/dimacs1992/dimacs1992/david.col_solution.txt
dimacs1992/DSJC125.1.col,dimacs,--remove-duplicate-edges,dimacs1992,125,736,0.095,6,5,5,certificates/dimacs1992/dimacs1992/DSJC125.1.col_solution.txt
dimacs1992/DSJR500.1.col,dimacs,--remove-duplicate-edges,dimacs1992,500,3555,0.028,7,12,12,certificates/dimacs1992/dimacs1992/DSJR500.1.col_solution.txt
dimacs1992/fpsol2.i.1.col,dimacs,--remove-duplicate-edges,dimacs1992,496,11654,0.095,23,65,65,certificates/dimacs1992/dimacs1992/fpsol2.i.1.col_solution.txt
dimacs1992/fpsol2.i.2.col,dimacs,--remove-duplicate-edges,dimacs1992,451,8691,0.086,19,30,30,certificates/dimacs1992/dimacs1992/fpsol2.i.2.col_solution.txt
dimacs1992/fpsol2.i.3.col,dimacs,--remove-duplicate-edges,dimacs1992,425,8688,0.096,20,30,30,certificates/dimacs1992/dimacs1992/fpsol2.i.3.col_solution.txt
dimacs1992/games120.col,dimacs,--remove-duplicate-edges,dimacs1992,120,638,0.089,5,9,9,certificates/dimacs1992/dimacs1992/games120.col_solution.txt
dimacs1992/homer.col,dimacs,--remove-duplicate-edges,dimacs1992,561,1628,0.01,3,13,13,certificates/dimacs1992/dimacs1992/homer.col_solution.txt
dimacs1992/huck.col,dimacs,--remove-duplicate-edges,dimacs1992,74,301,0.111,4,11,11,certificates/dimacs1992/dimacs1992/huck.col_solution.txt
dimacs1992/inithx.i.1.col,dimacs,--remove-duplicate-edges,dimacs1992,864,18707,0.05,22,54,54,certificates/dimacs1992/dimacs1992/inithx.i.1.col_solution.txt
dimacs1992/inithx.i.2.col,dimacs,--remove-duplicate-edges,dimacs1992,645,13979,0.067,22,31,31,certificates/dimacs1992/dimacs1992/inithx.i.2.col_solution.txt
dimacs1992/inithx.i.3.col,dimacs,--remove-duplicate-edges,dimacs1992,621,13969,0.073,22,31,31,certificates/dimacs1992/dimacs1992/inithx.i.3.col_solution.txt
dimacs1992/jean.col,dimacs,--remove-duplicate-edges,dimacs1992,80,254,0.08,3,10,10,certificates/dimacs1992/dimacs1992/jean.col_solution.txt
dimacs1992/le450_25a.col,dimacs,--remove-duplicate-edges,dimacs1992,450,8260,0.082,18,25,25,certificates/dimacs1992/dimacs1992/le450_25a.col_solution.txt
dimacs1992/le450_25b.col,dimacs,--remove-duplicate-edges,dimacs1992,450,8263,0.082,18,25,25,certificates/dimacs1992/dimacs1992/le450_25b.col_solution.txt
dimacs1992/le450_5c.col,dimacs,--remove-duplicate-edges,dimacs1992,450,9803,0.097,22,5,5,certificates/dimacs1992/dimacs1992/le450_5c.col_solution.txt
dimacs1992/le450_5d.col,dimacs,--remove-duplicate-edges,dimacs1992,450,9757,0.097,22,5,5,certificates/dimacs1992/dimacs1992/le450_5d.col_solution.txt
dimacs1992/miles1000.col,dimacs,--remove-duplicate-edges,dimacs1992,128,3216,0.396,25,42,42,certificates/dimacs1992/dimacs1992/miles1000.col_solution.txt
dimacs1992/miles1500.col,dimacs,--remove-duplicate-edges,dimacs1992,128,5198,0.64,41,73,73,certificates/dimacs1992/dimacs1992/miles1500.col_solution.txt
dimacs1992/miles250.col,dimacs,--remove-duplicate-edges,dimacs1992,128,387,0.048,3,8,8,certificates/dimacs1992/dimacs1992/miles250.col_solution.txt
dimacs1992/miles500.col,dimacs,--remove-duplicate-edges,dimacs1992,128,1170,0.144,9,20,20,certificates/dimacs1992/dimacs1992/miles500.col_solution.txt
dimacs1992/miles750.col,dimacs,--remove-duplicate-edges,dimacs1992,128,2113,0.26,17,31,31,certificates/dimacs1992/dimacs1992/miles750.col_solution.txt
dimacs1992/mug88_1.col,dimacs,--remove-duplicate-edges,dimacs1992,88,146,0.038,2,4,4,certificates/dimacs1992/dimacs1992/mug88_1.col_solution.txt
